"","geo_id","med_income_2010","med_income_2011","med_income_2012","med_income_2013","med_income_2014","med_income_2015","med_income_2016","med_income_2017","med_income_2018","med_income_2019","med_income_2020","med_income_2021","med_income_2022","med_income_2023","med_income_2024"
"131","1400000US53011040909",61649,64776,64148,65357,68167,65000,73650,76962,78732,86763,91794,113140,112217,125000,137003
"132","1400000US53011040910",71366,74215,76203,81346,82442,88346,94079,90884,91750,103000,112752,118144,128305,133424,135232
"133","1400000US53011041003",61875,61596,60391,58665,63750,64076,61033,67391,71000,76125,80050,88421,100948,102784,102143
"134","1400000US53011041005",31121,33049,31354,32127,32344,31895,34330,35424,39726,42639,46667,45225,46583,53750,51705
"135","1400000US53011041007",46250,53125,55250,51071,57548,51563,55605,58110,62356,60881,71480,74790,79636,86236,89497
"136","1400000US53011041008",76226,73977,63700,63472,67917,71600,72321,78095,82692,87193,101154,119706,122273,123804,126607
"137","1400000US53011041009",42044,40563,38430,39167,40820,40918,42190,50762,53015,54444,52763,54250,61734,64261,62829
"138","1400000US53011041010",37500,35579,37398,39583,40061,42015,43003,45043,41835,46042,51268,56467,65375,75682,83667
"139","1400000US53011041011",58528,57500,56694,59476,59962,60163,58772,64056,62473,70968,72554,78438,88750,97696,98598
"140","1400000US53011041104",45402,45833,49957,44375,48347,52188,53850,54122,56589,59782,57632,60063,75893,91415,93936
"141","1400000US53011041105",53953,54977,56732,57254,64347,64529,66121,71638,76211,85098,82262,89091,104351,88370,99318
"142","1400000US53011041107",67202,71786,72361,72096,70777,67989,68146,68125,72108,75946,92813,94917,120461,119569,108558
"143","1400000US53011041108",41998,42257,41685,42299,43051,41225,38933,40068,39830,43955,NA,NA,NA,NA,NA
"144","1400000US53011041110",52375,49014,50057,47135,50452,51330,54250,69792,73897,78042,84958,86467,104479,110956,104744
"145","1400000US53011041111",24396,28167,25368,26141,29474,32733,35110,37026,43783,52188,48297,48785,53809,57218,58898
"146","1400000US53011041112",51467,51662,51705,39676,40204,40155,41136,45259,58305,66280,62007,75602,83439,89655,88111
"147","1400000US53011041201",50449,50200,47741,47939,47193,48006,46786,52558,56207,66100,NA,NA,NA,NA,NA
"148","1400000US53011041203",55953,57441,58606,56852,57137,52941,54750,52257,56058,48396,54135,63152,70903,73929,90064
"149","1400000US53011041205",47045,51685,47237,43673,43996,45406,50538,52336,58424,65170,63469,66314,71823,77935,81047
"150","1400000US53011041206",55066,61182,59813,63609,61649,66796,60396,68101,65776,67169,67482,73041,77894,81779,87763
"151","1400000US53011041309",56569,66429,59489,54928,62256,61389,61109,67596,71376,76806,83878,95804,100842,98482,109119
"152","1400000US53011041310",56722,56447,62734,60208,65256,60375,56449,67450,66339,70781,69181,74110,77324,87068,87925
"153","1400000US53011041312",42668,42379,40283,42661,44594,45291,49645,54083,55486,57750,60848,62924,67366,85595,83214
"154","1400000US53011041313",42938,44531,38750,36674,37629,39780,41422,42140,50703,57365,52354,62848,65257,64934,67361
"155","1400000US53011041317",48159,44324,46118,47317,53413,53449,55362,56647,60025,63559,66606,65046,74106,76438,86087
"156","1400000US53011041318",46389,49519,45707,48919,50039,53984,55278,61328,60275,58824,NA,NA,NA,NA,NA
"157","1400000US53011041319",71771,66007,65625,73719,64735,59798,70202,69886,75729,82321,84300,91319,88598,94129,104357
"158","1400000US53011041320",56693,59461,53514,59493,54667,54503,55750,64962,56734,63084,65134,71354,75548,87143,85724
"159","1400000US53011041321",70096,71680,75500,68125,67049,67466,70884,68224,76194,78043,85250,90133,97407,100148,103714
"160","1400000US53011041322",48443,47551,44853,43042,47458,46225,46804,48652,47549,49575,54170,55588,61916,70174,69142
"161","1400000US53011041323",40909,37063,37271,39856,40681,41715,44120,48261,52574,56088,60036,62658,64028,70135,75244
